"","불량","adress","contents","time","money","career","sex","age","education","employment","personnel","period","week","close","detail_adress","realtime"
"2",1,"전주시 덕진동1","OK로지스(주)초보도 가능한 야간물류 인원 모집합니다(당일지급)","19:00~07:20","일급130,000","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","1년이상 (기간협의가능)","주6일","2019년 5월 2일(목) ~ 상시모집","충북 옥천군 이원면 강청길 1<U+00A0>(창고)<U+00A0>전북 전주시 덕진구 덕진동1가","12.33"
"3",1,"전주시 인후동1","(주)다담리테일 마트앤마트【 추천 】 【 배송직원 (정규직)구함 】","11:00~20:00","연봉24,000,000","무관(신입+경력)","남자","연령무관 ","학력무관","정규직","0명 (10명 미만)","1년이상 (기간협의가능)","주5일","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 6 ","전북 전주시 덕진구 무삼지로 76<U+00A0>(마트앤마트)<U+00A0>전북 전주시 덕진구 인후동1가","9"
"4",1,"전주시 인후동1","NS물류야간물류알바 당일 일당 기본10만원부터 최대13만원 대모집","20:00~06:00","일급120,000","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~토","2019년 5월 6일(월) ~ 상시모집","전북 전주시 덕진구 건산로 125-23<U+00A0>(인후동1가)<U+00A0>전북 전주시 덕진구 인후동1가","14"
"5",1,"전주시 인후동1","교촌치킨인후점【  급  구  / 시급9500원】 배달직원 남직원 구함","12:00~24:00","시급9,500","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","1년이상","월~일 (요일협의가능 : 협의후결정)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 견훤로 314<U+00A0>.<U+00A0>전북 전주시 덕진구 인후동1가","12"
"6",1,"군산시 전체","피자알볼로 군산점피자 알볼로(평일,주말)배달알바 구합니다","18:00~23:30","시급10,030","무관(신입+경력)","남자","31세(1989년생) ~ 50세(1970년생) 미성년자 불가","학력무관","아르바이트","1명","3개월~6개월","주6일","2019년 5월 6일(월) ~ 상시모집","전북 군산시 백토로 217<U+00A0>피자알볼로 군산점<U+00A0>전북 군산시 전체","5.5"
"7",1,"익산시 부송동","롯데리아 익산부송점성실하고 밝은 아르바이트생 구함","18:00~22:20","시급8,350","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직, 병역특례, 위촉직(프리랜서)","1명","6개월~1년","주3일","2019년 5월 3일(금) ~ 상시모집","익산시 부송로66<U+00A0>롯데리아<U+00A0>전북 익산시 부송동","4.33"
"8",1,"전주시 인후동1","도미노피자 전주인후점(주급배달)요즘 날씨 대박 알바 각인가요? 꿀주급 꿀배달","17:00~22:00","시급9,300","무관(신입+경력)","성별무관","20세(2000년생) ~ 32세(1988년생) 미성년자 불가","학력무관","아르바이트, 정규직, 계약직","1명","3개월~6개월 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 견훤로 146<U+00A0>1층 도미노피자 전주인후점<U+00A0>전북 전주시 덕진구 인후동1가","5"
"9",1,"군산시 조촌동","엔제리너스 롯데몰군산엔제리너스  주중아르바이트 모집","16:00~21:00","시급8,350","무관(신입+경력)","여자","20세(2000년생) ~ 35세(1985년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년 (수습기간있음)","주3일","2019년 5월 4일(토) ~ 상시모집","전북 군산시 조촌로 130<U+00A0>(롯데몰 군산점) 3층<U+00A0>전북 군산시 조촌동","5"
"10",1,"익산시 모현동2","(주)오케이정보KT공식대리점 (주)오케이정보 정직원 모집","10:00~08:00","월급2,500,000","무관(신입+경력)","성별무관","25세(1995년생) ~ 40세(1980년생) 미성년자 불가","학력무관","정규직","2명","1년이상 (수습기간있음)","주6일","2019년 5월 6일(월) ~ 상시모집","전북 익산시 선화로1길 4<U+00A0>배산시티프라자 103호 KT공식대리점<U+00A0>전북 익산시 모현동2가","2"
"11",1,"전주시 덕진동2","메카PC하가점메카 PC에서 평일 야간[00시-08시] 아르바이트 모집합니다.","00:00~08:00","시급8,350","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월 (기간협의가능)","월~금","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 가련산로 27<U+00A0>(덕진동2가)<U+00A0>전북 전주시 덕진구 덕진동2가","8"
"12",1,"군산시 조촌동","엔제리너스 롯데몰군산엔제리너스  주중아르바이트 모집","16:00~21:00","시급8,350","무관(신입+경력)","여자","20세(2000년생) ~ 35세(1985년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년 (수습기간있음)","주3일","2019년 5월 4일(토) ~ 상시모집","전북 군산시 조촌로 130<U+00A0>(롯데몰 군산점) 3층<U+00A0>전북 군산시 조촌동","5"
"13",1,"군산시 조촌동","엔제리너스 롯데몰군산엔제리너스  주중아르바이트 모집","16:00~21:00","시급8,350","무관(신입+경력)","여자","20세(2000년생) ~ 35세(1985년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년 (수습기간있음)","주3일","2019년 5월 4일(토) ~ 상시모집","전북 군산시 조촌로 130<U+00A0>(롯데몰 군산점) 3층<U+00A0>전북 군산시 조촌동","5"
"14",1,"전주시 효자동2","아이존스튜디오도청점주말 토요일 일요일 아르바이트 구함","10:00~17:00","시급8,500","무관(신입+경력)","여자","23세(1997년생) ~ 29세(1991년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년 (기간협의가능)","주말","2019년 5월 3일(금) ~ 2019년 5월 9일(목)
D-DAY 2 ","전북 전주시 완산구 홍산로 246<U+00A0>(효자동2가)<U+00A0>전북 전주시 완산구 효자동2가","7"
"15",1,"정읍시 상동","웅진씽크빅 정읍지국센터수학전문교사 및 방문교사모집(동종업계경력우대)","13:00~20:00","월급2,000,000","무관(신입+경력)","성별무관","연령무관 ","대학(2,3년)졸업 이상","위촉직(프리랜서)","3명","1년이상","월~금","2019년 5월 3일(금) ~ 2019년 5월 8일(수)
D-DAY 내일 ","전북 정읍시 충정로 80<U+00A0>연파빌딩2층 정화약국2층<U+00A0>전북 정읍시 상동","7"
"16",1,"전주시 평화동1","경일건설인력(숙식제공)당일지급 12만원 왕초보가능 건설현장 동반가능","08:00~17:30","일급120,000","무관(신입+경력)","성별무관","23세(1997년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트, 계약직, 파견직, 인턴직","00명 (100명 미만)","1개월~3개월","주6일","2019년 5월 7일(화) ~ 상시모집","숙식제공 당일지급<U+00A0>숙식제공 당일지급 기숙사제공<U+00A0>전북 전주시 완산구 평화동1가","9.5"
