"1","전주시 전체","CJ택배/회사차량지원/지입X/선수금X[월551만원] 남은 날 중 가장 젊은 지금 도전하세요","08:00~18:00","월급5,000,000","2분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","2명","1년이상 (수습기간있음)","월~토","2019년 5월 5일(일) ~ 2019년 5월 13일(월)
D-DAY 6 ","전북 전주시 완산구 서원로 232<U+00A0>초보/여성/외국인/동반지원가능<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","KB의특별한혜택I육아걱정끝10시-3시여성추천]자동차재계약갱신/고객센터인바운드상담/평균3-500","09:30~15:00","월급3,000,000","3분전","무관(신입+경력)","여자","28세(1992년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 위촉직(프리랜서)","00명 (100명 미만)","1년이상","월~금","2019년 5월 6일(월) ~ 상시모집","전북 전주시 완산구 홍산로 158<U+00A0>한국토지주택공사 전북본부<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","할리스커피 전주남천교점할리스 커피 남천교점 알바모집","07:30~14:30","시급8,350","9분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월","주2일","2019년 5월 2일(목) ~ 상시모집","전북 전주시 완산구 전주천서로 81<U+00A0>할리스 남천교점<U+00A0>전북 전주시 완산구 전체"
"1","군산시 소룡동","GS25군산경암점소룡동 성원상데빌 근무자 구합니다","23:00~08:00","시급8,350","11분전","무관(신입+경력)","성별무관","25세(1995년생) ~ 58세(1962년생) 고연령자 가능 미성년자 불가","고등학교 졸업 이상","아르바이트","1명","6개월~1년","주5일","2019년 5월 5일(일) ~ 상시모집","전북 군산시 해망로 447<U+00A0>(군산성원아파트)<U+00A0>전북 군산시 소룡동"
"1","익산시 모현동1","크라운호프 익산모현1호점[급구] 홀서빙 알바 모십니다 시급 9,000원","13:00~18:00","시급9,000","15분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","6개월~1년","주5일 (요일협의가능)","2019년 5월 3일(금) ~ 상시모집","전북 익산시 선화로3길 39-11<U+00A0>1층크라운호프<U+00A0>전북 익산시 모현동1가"
"1","전주시 다가동4","쥬쥬베이킹,아이보릿,다가동마카롱베이킹 보조 및 카페 아르바이트 구합니다","18:00~21:00 (로테이션)","시급8,350","16분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","주5일 (요일협의가능)","2019년 5월 6일(월) ~ 상시모집","전북 전주시 완산구 전주천동로 266<U+00A0>2층쥬쥬베이킹<U+00A0>전북 전주시 완산구 다가동4가"
"1","익산시 신동","맥도날드 익산원광대점익산원광대점에서 함께 근무하실 크루&라이더들을 모집합니다","시간협의","시급8,350","19분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 5일(일) ~ 2019년 5월 18일(토)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=401544"
"1","군산시 전체","피자알볼로 군산점피자 알볼로(평일,주말)배달알바 구합니다","18:00~22:30","시급10,030","30분전","무관(신입+경력)","남자","31세(1989년생) ~ 50세(1970년생) 미성년자 불가","학력무관","아르바이트","1명","3개월~6개월","주6일","2019년 5월 4일(토) ~ 상시모집","전북 군산시 백토로 217<U+00A0>피자알볼로 군산점<U+00A0>전북 군산시 전체"
"1","전북 전체","롯데리아 전주세이브존점롯데리아 전북대점(오픈예정)에서 함께 근무하실 직원및 아르","08:00~24:00","시급8,350","31분전","무관(신입+경력)","성별무관","연령무관 ","고등학교 졸업 이상","아르바이트","0명 (10명 미만)","6개월~1년","월~일 (요일협의가능)","2019년 5월 4일(토) ~ 상시모집","전주시 덕진구<U+00A0>덕진동1가<U+00A0>전북 전체 "
"1","전주시 평화동2","웅진씽크빅 남전주지국웅진씽크빅 남전주지국에서 씽크빅 선생님을 모십니다.(센터","14:00~20:00","월급2,000,000","34분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","3명","1년이상","월~금","2019년 5월 6일(월) ~ 상시모집","전북 전주시 완산구 모악로 4692<U+00A0>덕수빌딩4층 씽크빅남전주지국<U+00A0>전북 전주시 완산구 평화동2가"
"1","익산시 신동","CU 신동점원대병원 입구(익산약국옆) 주말저녁(금~일) 스텝구합니다.","18:00~23:00","시급8,350","52분전","무관(신입+경력)","성별무관","연령무관 ","고등학교 졸업 이상","아르바이트","1명","3개월~6개월 (수습기간있음)","주말","2019년 5월 6일(월) ~ 2019년 5월 17일(금)","전북 익산시 무왕로 905<U+00A0>원광대학병원 입구<U+00A0>전북 익산시 신동"
"1","전주시 전체","COUPANG FLEX쿠팡 플렉스 / 단기알바/ 야간알바 / 주말 / 평일 / 자율근무","13:00~00:00","시급8,350","52분전","무관(신입+경력)","성별무관","20세 이상(2000년 이후 출생자) 고연령자 가능 미성년자 불가","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1개월~3개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 6일(월) ~ 상시모집","서울 서초구<U+00A0>쿠팡 주식회사<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 덕진동1","OK로지스(주)초보도 가능한 야간물류 인원 모집합니다(당일지급)","19:00~07:20","일급130,000","52분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","1년이상 (기간협의가능)","주6일","2019년 5월 2일(목) ~ 상시모집","충북 옥천군 이원면 강청길 1<U+00A0>(창고)<U+00A0>전북 전주시 덕진구 덕진동1가"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","53분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","53분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 인후동1","NS물류야간물류알바 당일 일당 기본10만원부터 최대13만원 대모집","20:00~06:00","일급120,000","54분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~토","2019년 5월 6일(월) ~ 상시모집","전북 전주시 덕진구 건산로 125-23<U+00A0>(인후동1가)<U+00A0>전북 전주시 덕진구 인후동1가"
"1","군산시 미장동","회사차량지원,보험비전액지원당신의 열정페이는 얼마입니까? 열정만큼 드리겠습니다","08:00~18:00","월급4,500,000","56분전","무관(신입+경력)","성별무관","22세(1998년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직, 위촉직(프리랜서)","3명","1년이상","월~토","2019년 5월 5일(일) ~ 2019년 5월 8일(수)
D-DAY 내일 ","전북 군산시 경포천로 34<U+00A0>(군산미장휴먼시아)<U+00A0>전북 군산시 미장동"
"1","익산시 전체","회사차량지원,보험비전액지원당신의 열정페이는 얼마입니까? 열정만큼 드리겠습니다","08:00~18:00","월급4,500,000","58분전","무관(신입+경력)","성별무관","22세(1998년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직, 위촉직(프리랜서)","3명","1년이상","월~토","2019년 5월 5일(일) ~ 2019년 5월 8일(수)
D-DAY 내일 ","전북 익산시 간리길 133<U+00A0>지입x/ 외국인가능/ 회사차량지원<U+00A0>전북 익산시 전체"
"1","익산시 전체","(주)CJ대한통운 /지입X/초기지원[월450만원] 당신의 능력은 충분합니다. 기회가 되어 드리겠","08:00~18:00","월급4,500,000","58분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","4명","1년이상","월~토","2019년 5월 5일(일) ~ 2019년 5월 10일(금)
D-DAY 3 ","소개비無/초기자본금無/경력無<U+00A0>초보가능/성별무관/외국인가능<U+00A0>전북 익산시 전체"
"1","전주시 전체","회사차량지원,보험비전액지원당신의 열정페이는 얼마입니까? 열정만큼 드리겠습니다","08:00~18:00","월급4,500,000","1시간전","무관(신입+경력)","성별무관","22세(1998년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직, 위촉직(프리랜서)","3명","1년이상","월~토","2019년 5월 5일(일) ~ 2019년 5월 8일(수)
D-DAY 내일 ","전북 전주시 완산구 간납대1길 3<U+00A0>지입x/ 외국인가능/ 회사차량지원<U+00A0>전북 전주시 완산구 전체"
