"1","전주시 서신동","유니클로 롯데백화점 전주점유니클로 롯데백화점 전주점 단기 파트타이머 모집합니다.","08:30~21:30 (로테이션)","시급8,612","11분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 30세(1990년생) 미성년자 불가","학력무관","계약직","3명","1주일~1개월 (근무날짜: 5월 7일 ~ 5월 31일) (기간협의가능)","주5일 (요일협의가능)","2019년 5월 6일(월) ~ 상시모집","전북 전주시 완산구 온고을로 2<U+00A0>(롯데백화점) 지하1층 유니클로<U+00A0>전북 전주시 완산구 서신동"
"1","전주시 평화동1","맥도날드 전주 평화 DT맥도날드 전주평화DT점에서 라이더 및 크루를 모집합니다.","시간협의","시급8,350","19분전","성별 성별무관","연령 연령무관  청소년 가능","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 3일(금) ~ 2019년 5월 16일(목)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=401994"
"1","전주시 덕진동1","제이제이모바일 전북대점[전주휴대폰1위제이제이모바일][전북가장큰기업형도소매대리","10:00~08:00","월급2,800,000","30분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 28세(1992년생) 미성년자 불가","고등학교 졸업 이상","아르바이트, 정규직, 인턴직","3명","3개월~6개월","월~토","2019년 5월 1일(수) ~ 상시모집","전북 전주시 덕진구 기린대로 475<U+00A0>제이제이모바일3호점<U+00A0>전북 전주시 덕진구 덕진동1가"
"1","전주시 삼천동1","제이제이모바일 삼천점[전주휴대폰1위제이제이모바일][전북가장큰기업형도소매대리","10:00~20:00","월급2,800,000","32분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 28세(1992년생) 미성년자 불가","고등학교 졸업 이상","아르바이트, 정규직, 인턴직","00명 (100명 미만)","3개월~6개월","월~토","2019년 5월 1일(수) ~ 상시모집","전북 전주시 완산구 거마평로 57<U+00A0>(삼천동1가) 287-14 삼천빌딩상가 1층<U+00A0>전북 전주시 완산구 삼천동1가"
"1","전주시 효자동3","제이제이모바일 신시가지점[전주휴대폰1위제이제이모바일][전북가장큰기업형도소매대리","10:00~20:00","월급2,800,000","34분전","무관(신입+경력)","성별무관","22세(1998년생) ~ 28세(1992년생) 미성년자 불가","학력무관","정규직","3명","6개월~1년 (수습기간있음, 기간협의가능)","월~토","2019년 5월 1일(수) ~ 상시모집","전북 전주시 완산구 세내로 291<U+00A0>(효자동3가, 힐스테이트 효자동)1층8호<U+00A0>전북 전주시 완산구 효자동3가"
"1","전주시 송천동2","진가진 설렁탕[+급구추천+] 주방실장 및 주방,홀 직원 및 홀 알바(오전,오","09:00~21:00","시급8,350","35분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","정규직, 계약직","0명 (10명 미만)","1년이상 (기간협의가능)","주6일 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 동부대로 1031<U+00A0>동부대로<U+00A0>전북 전주시 덕진구 송천동2가"
"1","군산시 지곡동","GS25군산의료원본점금토일 알바구합니다.","10:00~17:00","시급8,350","35분전","무관(신입+경력)","여자","30세(1990년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월","금, 토, 일요일","2019년 5월 5일(일) ~ 상시모집","전북 군산시 의료원로 27<U+00A0>(군산의료원)<U+00A0>전북 군산시 지곡동"
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","43분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 3일(금) ~ 2019년 5월 10일(금)
D-DAY 3 ","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","43분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 3일(금) ~ 2019년 5월 10일(금)
D-DAY 3 ","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전북 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/공부방/부영2차 회원지원/정착지원금10","13:00~21:00","월급1,800,000","44분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 3일(금) ~ 2019년 5월 10일(금)
D-DAY 3 ","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전체 "
"1","전북 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/공부방/부영2차 회원지원/정착지원금10","13:00~21:00","월급1,800,000","44분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 3일(금) ~ 2019년 5월 10일(금)
D-DAY 3 ","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전체 "
