"1","전주시 송천동1","가나로지스(주)&최고의꿀알바&일당 13만원 야간 물류알바 大모집&","20:00~07:20","일급130,000","11분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","1년이상 (기간협의가능)","주6일","2019년 5월 3일(금) ~ 상시모집","전북 전주시 덕진구 가리내로 500<U+00A0>4<U+00A0>전북 전주시 덕진구 송천동1가"
"1","전주시 서노송동","LB휴넷[고정급186만/즉시입사] LGU+ 유선상품 정보변경, 요금문의 ","09:00~18:00","월급2,500,000","18분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","정규직","00명 (100명 미만)","1년이상 (수습기간있음)","월~금","2019년 5월 7일(화) ~ 2019년 5월 20일(월)","전북 전주시 완산구 기린대로 213<U+00A0>(대우빌딩)<U+00A0>전북 전주시 완산구 서노송동"
"1","익산시 어양동","할리스커피 익산어양점할리스커피 평일마감(월/화/목) 근무가능자 1명 채용합니다 ","18:30~23:00","시급8,350","25분전","경력(연차무관)","성별무관","23세(1997년생) ~ 29세(1991년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년 (수습기간있음)","수, 목, 금요일","2019년 5월 4일(토) ~ 상시모집","전북 익산시 동서로63길 4<U+00A0>(어양동)<U+00A0>전북 익산시 어양동"
"1","전주시 효자동2","CU 효자휴먼시아점CU효자휴먼시아점 매장관리 아르바이트 모집합니다","22:00~10:00","시급8,350","25분전","무관(신입+경력)","남자","21세(1999년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트","1명","1년이상 (수습기간있음)","금요일","2019년 5월 6일(월) ~ 상시모집","전북 전주시 완산구 호암로 87<U+00A0>(효자휴먼시아5단지아파트)<U+00A0>전북 전주시 완산구 효자동2가"
"1","익산시 어양동","할리스커피 익산어양점할리스커피 평일마감(월/화/목) 근무가능자 1명 채용합니다 ","18:30~23:00","시급8,350","25분전","경력(연차무관)","성별무관","23세(1997년생) ~ 29세(1991년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년 (수습기간있음)","수, 목, 금요일","2019년 5월 4일(토) ~ 상시모집","전북 익산시 동서로63길 4<U+00A0>(어양동)<U+00A0>전북 익산시 어양동"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","25분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 4일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","26분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 4일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","26분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 4일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","26분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 4일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","익산시 영등동","빽다방 익산영등제일점빽다방 익산영등제일점 알바 모집합니다.(주말)","19:30~22:30","시급8,350","26분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","주말","2019년 5월 4일(토) ~ 상시모집","전북 익산시 영등동 766-2<U+00A0>빽다방 익산영등제일점<U+00A0>전북 익산시 영등동"
"1","익산시 영등동","빽다방 익산영등제일점빽다방 익산영등제일점 알바 모집합니다.","17:00~22:30","시급8,350","27분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","주말","2019년 5월 4일(토) ~ 상시모집","전북 익산시 영등동 766-2<U+00A0>빽다방 익산영등제일점<U+00A0>전북 익산시 영등동"
