"1","전주시 덕진동1","(주)드림물류일당 최대 13만원 야간물류센터 일당아르바이트 大모집","20:00~06:00","일급130,000","10분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일","2019년 5월 8일(수) ~ 상시모집","전북 전주시 덕진구 덕진광장로 3<U+00A0>(시외버스덕진간이정류소)<U+00A0>전북 전주시 덕진구 덕진동1가"
"1","정읍시 맥도날드","맥도날드 전북정읍DT전북정읍 매장에서 근무하실 사원 모집","시간협의","시급8,350","12분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 7일(화) ~ 2019년 5월 12일(일)
D-DAY 4 ","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402525"
"1","정읍시 맥도날드","맥도날드 전북정읍DT정읍점 배달직원 모집","시간협의","시급8,350","12분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 7일(화) ~ 2019년 5월 14일(화)
D-DAY 6 ","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402527"
"1","익산시 영등동","크리스피크림도넛  익산영등점크리스피크림 영등점 주말 알바모집","11:00~09:00","시급8,350","13분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","6개월~1년 (기간협의가능)","일요일","2019년 5월 7일(화) ~ 상시모집","전북 익산시 영등동 770-7<U+00A0>1층 크리스피크림<U+00A0>전북 익산시 영등동"
"1","전주시 송천동2","교촌치킨 전주 송천교촌치킨 송천점과 함께할 성실하신 홀써빙 직원을 구합니다","18:00~01:00","시급9,000","19분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 25세(1995년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년","월, 화, 수, 목요일","2019년 5월 8일(수) ~ 2019년 5월 12일(일)
D-DAY 4 ","전북 전주시 덕진구 사근1길 31<U+00A0>CM빌딩 113호, 교촌치킨 송천점<U+00A0>전북 전주시 덕진구 송천동2가"
"1","익산시 영등동","빽다방 익산영등제일점빽다방 익산영등제일점 알바 모집합니다.","18:00~22:30","시급8,350","22분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","월~금","2019년 5월 5일(일) ~ 상시모집","전북 익산시 영등동 766-2<U+00A0>빽다방 익산영등제일점<U+00A0>전북 익산시 영등동"
"1","전북 전체","대교 눈높이 김제 BL사업국눈높이 교육컨설턴트 모집(방문교사/ 러닝센터 교사)","09:00~21:00","월급2,500,000","24분전","무관(신입+경력)","성별무관","연령무관 ","대학교(4년)졸업 이상","정규직, 계약직","0명 (10명 미만)","1년이상","월~금 (요일협의가능)","2019년 5월 8일(수) ~ 상시모집","전북 김제시 동서로 209<U+00A0>쉐보레 2층<U+00A0>전북 전체 "
"1","익산시 신동","(주)조은물류(초보)야간택배 당일지급 최대14만원 남,녀 분류자및 상하차","20:00~06:00","일급140,000","27분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","1주일~1개월 (근무날짜: 9월 3일 ~ 10월 3일)","월~일 (요일협의가능 : 1일근무가능(근무기간 선택))","2019년 5월 7일(화) ~ 상시모집","전북 익산시 동서로 179-14<U+00A0>(신동 동북아파트)<U+00A0>전북 익산시 신동"
"1","전주시 덕진동1","(주)조은물류(초보)야간택배 당일지급 최대14만원 남,녀 분류자및 상하차","20:00~06:00","일급140,000","27분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","1주일~1개월 (근무날짜: 9월 3일 ~ 10월 3일)","월~일 (요일협의가능 : 1일근무가능(근무기간 선택))","2019년 5월 7일(화) ~ 상시모집","충북 옥천군 이원면 건진2길 65<U+00A0>(건진리)<U+00A0>전북 전주시 덕진구 덕진동1가"
"1","전주시 우아동3","공원천막대여[1종 운전면허 소지자] 공원천막대여/배우며 일하실분 급구","09:00~18:00","월급2,300,000","28분전","무관(신입+경력)","남자","25세(1995년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","계약직","0명 (10명 미만)","6개월~1년","주6일 (요일협의가능 : 근무요일은 추후에)","2019년 5월 4일(토) ~ 상시모집","전북 전주시 덕진구 동부대로 708<U+00A0>(우아동3가)<U+00A0>전북 전주시 덕진구 우아동3가"
"1","전주시 우아동3","GS25우아백제점GS25 우아백제점 스토어매니저 모집","00:00~09:00","시급8,350","28분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","1년이상 (기간협의가능)","월~금","2019년 5월 8일(수) ~ 상시모집","전북 전주시 덕진구 도당산2길 10<U+00A0><U+00A0>전북 전주시 덕진구 우아동3가"
"1","군산시 지곡동","GS25군산의료원본점금토일 알바구합니다.","10:00~17:00","시급8,350","28분전","무관(신입+경력)","여자","30세(1990년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월","금, 토, 일요일","2019년 5월 5일(일) ~ 상시모집","전북 군산시 의료원로 27<U+00A0>(군산의료원)<U+00A0>전북 군산시 지곡동"
"1","전주시 전체","돈걱정 그만 / 행복은 돈으로 부터[月평균급여 500만] 아직도 돈걱정만 하고 계신가요 / 이젠 ","08:00~18:00","월급4,500,000","28분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","2명","1년이상 (수습기간있음)","월~토","2019년 5월 8일(수) ~ 2019년 5월 15일(수)
D-DAY 7 ","전북 전주시 완산구 노송광장로 10<U+00A0>초보/여성/외국인/동반지원가능<U+00A0>전북 전주시 완산구 전체"
"1","전주시 우아동3","GS25우아백제점GS25 우아백제점 스토어매니저 모집","00:00~09:00","시급8,350","29분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","1년이상 (기간협의가능)","월~금","2019년 5월 8일(수) ~ 상시모집","전북 전주시 덕진구 도당산2길 10<U+00A0><U+00A0>전북 전주시 덕진구 우아동3가"
