"1","전주시 평화동2","가마치통닭전주평화점가마치통닭 전주평화점 주방보조 및 홀서빙 구함","16:00~23:00","시급8,500","11분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트","3명","6개월~1년 (기간협의가능)","월, 화, 수, 목, 금, 일요일 (요일협의가능 : 주방보조(윌화수목금일)/홀서빙(월~목, 금~일))","2019년 5월 9일(목) ~ 상시모집","전북 전주시 완산구 평화로 118<U+00A0>경복궁상가105호<U+00A0>전북 전주시 완산구 평화동2가"
"1","전주시 덕진동1","(주)드림물류일당 최대 13만원 야간물류센터 일당아르바이트 大모집","20:00~06:00","일급130,000","13분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일","2019년 5월 8일(수) ~ 상시모집","전북 전주시 덕진구 덕진광장로 3<U+00A0>(시외버스덕진간이정류소)<U+00A0>전북 전주시 덕진구 덕진동1가"
"1","전주시 완산구","맥도날드 전주 효자 DT맥도날드 전주효자DT점에서 같이 일할 크루, 라이더를 모집합","시간협의","시급8,350","15분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 8일(수) ~ 2019년 5월 21일(화)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402548"
"1","전주시 완산구","맥도날드 전주 효자 DT맥도날드 전주효자DT점에서 같이 일할 크루, 라이더를 모집합","시간협의","시급8,350","15분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 8일(수) ~ 2019년 5월 21일(화)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402547"
"1","익산시 남중동","익산어울림주말야간근무자 구합니다","00:00~07:00","시급8,350","17분전","무관(신입+경력)","남자","20세(2000년생) ~ 26세(1994년생) 미성년자 불가","고등학교 졸업 이상","아르바이트","1명","6개월~1년","주말","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 4 ","전북 익산시 인북로 324<U+00A0>GS25익산어울림<U+00A0>전북 익산시 남중동"
"1","전주시 금암동","한국관홀써빙 남직원 하루반 오전반 및 주말 남자 알바 구해요","10:00~20:00","월급1,800,000","18분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 36세(1984년생) 미성년자 불가","학력무관","아르바이트, 정규직","0명 (10명 미만)","6개월~1년","월~일","2019년 5월 7일(화) ~ 2019년 5월 11일(토)
D-DAY 2 ","전북 전주시 덕진구 기린대로 425<U+00A0>(금암동)<U+00A0>전북 전주시 덕진구 금암동"
"1","전주시 전체","웅진씽크빅 송천동부지국2~3일 수업가능 하신분 모집합니다","12:30~21:00","월급1,600,000","20분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금 (요일협의가능)","2019년 5월 7일(화) ~ 2019년 5월 10일(금)
D-DAY 내일 ","전북 전주시 덕진구 솔내로 184<U+00A0>수림빌딩4층.웅진북클럽<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 인후동1","멕시카나 아중2(전북)멕시카나치킨 아중2호점 홀서빙 직원 구함.","19:00~23:00","시급8,350","20분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월","주4일","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 아중로 176<U+00A0>멕시카나치킨 아중2호점<U+00A0>전북 전주시 덕진구 인후동1가"
"1","전주시 전체","웅진씽크빅 송천동부지국공부방 3일 수업가능 하신분 모집합니다","12:30~21:00","월급1,800,000","21분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금 (요일협의가능)","2019년 5월 7일(화) ~ 2019년 5월 10일(금)
D-DAY 내일 ","전북 전주시 덕진구 솔내로 184<U+00A0>수림빌딩4층.웅진북클럽<U+00A0>전북 전주시 덕진구 전체"
"1","익산시 영등동","빽다방 익산영등제일점빽다방 익산영등제일점 알바 모집합니다.","18:00~22:30","시급8,350","25분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","월~금","2019년 5월 5일(일) ~ 상시모집","전북 익산시 영등동 766-2<U+00A0>빽다방 익산영등제일점<U+00A0>전북 익산시 영등동"
"1","전주시 송천동2","아소비 전북지사(전주 에코시티 데시앙 공부방) 여성창업의 꿈을 누려보세요","14:00~18:00","월급1,700,000","26분전","무관(신입+경력)","여자","29세(1991년생) ~ 45세(1975년생) 미성년자 불가","대학(2,3년)졸업 이상","정규직","0명 (10명 미만)","1년이상","주4일","2019년 5월 8일(수) ~ 2019년 5월 14일(화)
D-DAY 5 ","전북 전주시 덕진구 백석로 145<U+00A0>(에코시티데시앙 12블럭)<U+00A0>전북 전주시 덕진구 송천동2가"
