"1","전주시 효자동1","링크타임[단기,투잡] 지역별, 동네별 단기 투잡으로 일 하실 분을 모","11:00~17:00","시급12,000","7분전","무관(신입+경력)","성별무관","19세 이상(2001년 이후 출생자) 고연령자 가능","학력무관","아르바이트, 파견직","0명 (10명 미만)","1주일이하 (근무날짜: 5월 11일 ~ 5월 17일)","주3일 (요일협의가능)","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 따박골3길 37-15<U+00A0>166-30<U+00A0>전북 전주시 완산구 효자동1가"
"1","전주시 진북동","한솔교육전주중앙지점놀이수업 한글.수학.영어 교사 모집-한솔교육","14:00~21:00","월급2,000,000","12분전","무관(신입+경력)","여자","24세(1996년생) ~ 45세(1975년생) 미성년자 불가","대학(2,3년)졸업 이상","위촉직(프리랜서)","2명","1년이상","월~금","2019년 5월 8일(수) ~ 2019년 5월 28일(화)","전북 전주시 덕진구 팔달로 334<U+00A0>(알리안츠생명) 5층 한솔교육 전주영어<U+00A0>전북 전주시 덕진구 진북동"
"1","전주시 진북동","한솔교육전주중앙지점놀이수업 한글,수학 교사모집-한솔교육 전주중앙지점","10:00~21:00","월급1,500,000","15분전","무관(신입+경력)","여자","25세(1995년생) ~ 45세(1975년생) 미성년자 불가","대학(2,3년)졸업 이상","위촉직(프리랜서)","1명","1년이상","월~금","2019년 5월 8일(수) ~ 2019년 5월 28일(화)","전북 전주시 덕진구 팔달로 334<U+00A0>한솔교육 4층<U+00A0>전북 전주시 덕진구 진북동"
"1","군산시 나운동","웅진씽크빅 군산서부지국센터교사, 재택영어화상교사,방문교사 구합니다","14:00~19:00","월급2,000,000","20분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월, 수, 목요일 (요일협의가능)","2019년 5월 8일(수) ~ 2019년 5월 28일(화)","전북 군산시 백토로 114<U+00A0>(광명빌딩)4층<U+00A0>전북 군산시 나운동"
"1","익산시 함열읍","세븐일레븐 익산함열점익산함열점 주말 오전 근무자 모집합니다.","06:00~13:00","시급8,350","21분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 49세(1971년생) 미성년자 불가","학력무관","아르바이트","1명","3개월~6개월","주말","2019년 5월 10일(금) ~ 2019년 5월 30일(목)","전북 익산시 함열읍 와리3길 85-10<U+00A0>(자동차번호판)<U+00A0>전북 익산시 함열읍"
"1","김제시 검산동","담소 김제검산담소사골순대 평일 저녁 구합니다문자로 이력 주세요.","00:00~01:00","시급8,350","22분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월 (기간협의가능)","월, 화, 수, 목, 금요일 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 김제시 검산택지5길 127<U+00A0>담소사골순대<U+00A0>전북 김제시 검산동"
"1","정읍시 전체","한솔교육 정읍지점한솔교육 정읍지점 인턴교사 채용(4대보험및 퇴직금 지급,타","16:00~21:00","월급2,000,000","23분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 50세(1970년생) 미성년자 불가","대학(2,3년)졸업 이상","계약직, 인턴직","1명","1년이상","월~금 (요일협의가능)","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 2 ","전북 정읍시 남북로 34<U+00A0>(수성동) 성림빌딩 3층<U+00A0>전북 정읍시 전체"
"1","고창군 고창읍","한솔교육 정읍,고창지점한솔교육 고창지점 인턴교사 채용(4대보험, 퇴직금 지급, 정","16:00~21:00","월급2,000,000","24분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 50세(1970년생) 미성년자 불가","대학(2,3년)졸업 이상","계약직, 인턴직","1명","1년이상","월~금 (요일협의가능)","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 2 ","전북 고창군,읍 중앙로<U+00A0>한솔교육<U+00A0>전북 고창군 고창읍"
"1","남원시 전체","한솔교육 남원지점한솔교육 남원지점 교사 채용(어린이집,유치원,학원,동종업계","16:00~21:00","월급2,000,000","25분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 49세(1971년생) 미성년자 불가","대학(2,3년)졸업 이상","계약직","1명","1년이상","월~금","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 2 ","전북 남원시 남문로 460<U+00A0>제일빌딩 4층 한솔교육<U+00A0>전북 남원시 전체"
"1","장수군 전체","한솔교육 남원지점한솔교육 장수지역 선생님 채용(어린이집,유치원,학원,동종업","16:00~21:00","월급2,000,000","25분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 50세(1970년생) 미성년자 불가","학력무관","계약직","1명","1년이상","월~금","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 2 ","전북 장수군 장계리 금곡리<U+00A0><U+00A0>전북 장수군 전체"
"1","장수군 장계면","한솔교육 남원지점한솔교육 장계지역 선생님 채용(어린이집,유치원,학원,동종업","16:00~21:00","월급2,000,000","26분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 50세(1970년생) 미성년자 불가","대학(2,3년)졸업 이상","계약직","1명","1년이상","월~금 (요일협의가능)","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 2 ","전북 장수군 장계면 장계리<U+00A0>장계리<U+00A0>전북 장수군 장계면"
