"1","전주시 전체","연탄위에노는흑돼지송천점급)주방보조 구함","21:00~24:00","시급9,500","10분전","무관(신입+경력)","남자","연령무관  고연령자 가능","학력무관","아르바이트","1명","1년이상 (기간협의가능)","주5일 (요일협의가능 : 월~ 금)","2019년 5월 10일(금) ~ 2019년 5월 11일(토)
D-DAY 오늘 ","전북 전주시 덕진구 붓내3길 17-11<U+00A0>(송천동2가)<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 전체","웅진씽크빅 송천동부지국송천동 에코시티 3일만 수업관리 하실분 모십니다","12:30~21:00","월급1,800,000","12분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","2명","1년이상","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 12일(일)
D-DAY 내일 ","전북 전주시 덕진구 솔내로 184<U+00A0>수림빌딩4층.웅진북클럽<U+00A0>전북 전주시 덕진구 전체"
"1","군산시 전체","삼성반도체화성시근무(육상근무)[긴급 바로근무]삼성 반도체 포설 가설 모집 중(경기도 화성","07:00~17:00","일급115,000","13분전","무관(신입+경력)","성별무관","22세(1998년생) ~ 50세(1970년생) 미성년자 불가","학력무관","아르바이트, 정규직, 계약직","00명 (100명 미만)","1년이상 (기간협의가능)","주6일 (요일협의가능)","2019년 5월 10일(금) ~ 상시모집","경기 화성시<U+00A0>화성시근무<U+00A0>전북 군산시 전체"
"1","익산시 전체","(주)맨파서블+하림+[보건증필수]+익산공장/통근버스+ 생산직 장기단기 아","00:00~24:00 (로테이션)","일급100,000","14분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~토","2019년 5월 10일(금) ~ 상시모집","전북 익산시 망성면 망성로 14<U+00A0>((주)하림)<U+00A0>전북 익산시 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","15분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 9일(목) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","웅진씽크빅 송천동부지국2~3일 수업가능 하신분 모집합니다","12:30~21:00","월급1,600,000","16분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 12일(일)
D-DAY 내일 ","전북 전주시 덕진구 솔내로 184<U+00A0>수림빌딩4층.웅진북클럽<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","16분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 9일(목) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","16분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 9일(목) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","17분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 9일(목) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","17분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 9일(목) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","군산시 소룡동","GS25소룡제일점금요일 토요일 야간구합니다","23:30~09:30","시급8,350","18분전","무관(신입+경력)","성별무관","30세(1990년생) ~ 50세(1970년생) 미성년자 불가","학력무관","아르바이트","1명","1년이상","금, 토요일","2019년 5월 7일(화) ~ 2019년 5월 27일(월)","전북 군산시 해망로 606<U+00A0>제일아파트상가 GS편의점<U+00A0>전북 군산시 소룡동"
"1","전주시 송천동1","CU 송천서호점주말야간 근무자 모집합니다.","23:00~09:00","시급8,350","18분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 40세(1980년생) 미성년자 불가","학력무관","아르바이트, 정규직","1명","3개월~6개월","금, 토요일","2019년 5월 9일(목) ~ 상시모집","전북 전주시 덕진구 송천로 47<U+00A0>1층<U+00A0>전북 전주시 덕진구 송천동1가"
