"1","전주시 전체","돈걱정 그만 / 행복은 돈으로 부터[月평균급여 500만] 아직도 돈걱정만 하고 계신가요 / 이젠 ","08:00~18:00","월급4,500,000","11분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","2명","1년이상 (수습기간있음)","월~토","2019년 5월 12일(일) ~ 2019년 5월 19일(일)
D-DAY 7 ","전북 전주시 완산구 노송광장로 10<U+00A0>초보/여성/외국인/동반지원가능<U+00A0>전북 전주시 완산구 전체"
"1","전주시 덕진동2","후 숯불돼지갈비(덕진동2가/하가지구)홀서빙구함","11:00~22:00","시급8,500","13분전","무관(신입+경력)","여자","20세(2000년생) ~ 38세(1982년생) 미성년자 불가","고등학교 졸업 이상","아르바이트, 정규직","1명","1년이상 (수습기간있음, 기간협의가능)","월~토 (요일협의가능)","2019년 5월 12일(일) ~ 2019년 6월 1일(토)","전북 전주시 덕진구 가리내9길 17<U+00A0>덕진동2가 하가지구 후 숯불돼지갈비<U+00A0>전북 전주시 덕진구 덕진동2가"
"1","익산시 전체","웅진씽크빅 익산서부지국나를위한 최고의 선택(웅진씽크빅 학습센터  선생님 모집)","14:00~21:00","월급1,600,000","17분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금 (요일협의가능 : 주3일)","2019년 5월 11일(토) ~ 2019년 5월 14일(화)
D-DAY 2 ","전북 익산시 선화로1길 12<U+00A0>웅진북클럽 모현 학습센터<U+00A0>전북 익산시 전체"
"1","익산시 전체","웅진씽크빅 익산서부지국나를위한 최고의 선택(웅진씽크빅 학습센터  선생님 모집)","14:00~21:00","월급1,600,000","17분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금 (요일협의가능 : 주3일)","2019년 5월 11일(토) ~ 2019년 5월 14일(화)
D-DAY 2 ","전북 익산시 선화로1길 12<U+00A0>웅진북클럽 모현 학습센터<U+00A0>전북 익산시 전체"
"1","군산시 나운동","GS25군산삼성점Gs편의점에서 가족같이 일할분을 찾습니다","23:00~08:00","시급8,350","20분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트","1명","1개월~3개월 (기간협의가능)","주2일","2019년 5월 11일(토) ~ 상시모집","전북 군산시 나운3길 6<U+00A0>Ga편의점<U+00A0>전북 군산시 나운동"
"1","전주시 삼천동1","자연푸드(주)【 자연푸드(주) 】 현장 직원 및 아르바이트(닭유통업) 모집","08:00~12:00","시급8,350","23분전","무관(신입+경력)","남자","20세(2000년생) ~ 49세(1971년생) 미성년자 불가","학력무관","아르바이트, 정규직","00명 (100명 미만)","1년이상 (기간협의가능)","월~토","2019년 5월 2일(목) ~ 상시모집","전북 전주시 완산구 안행1길 14-3<U+00A0>다사랑병원뒤<U+00A0>전북 전주시 완산구 삼천동1가"
"1","전주시 효자동2","양뜰【급구 /시급9000원】홀 직원및 일용직  모집","15:00~23:00","월급2,300,000","26분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 27세(1993년생) 미성년자 불가","학력무관","아르바이트, 정규직","0명 (10명 미만)","6개월~1년","주6일 (요일협의가능)","2019년 5월 2일(목) ~ 상시모집","전북 전주시 완산구 홍산1길 4-11<U+00A0>효자동2가<U+00A0>전북 전주시 완산구 효자동2가"
"1","군산시 대명동","세븐일레븐 군산터미널점주말근무자구함","11:00~22:00","시급8,350","27분전","무관(신입+경력)","남자","연령무관 ","고등학교 졸업 이상","아르바이트","1명","1개월~3개월 (기간협의가능)","주2일","2019년 5월 10일(금) ~ 상시모집","전북 군산시 대명동<U+00A0>해망로<U+00A0>전북 군산시 대명동"
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","28분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 22일(수)","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","28분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 22일(수)","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","28분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 22일(수)","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","29분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 22일(수)","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전북 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/공부방/부영2차 회원지원/정착지원금10","13:00~21:00","월급1,800,000","29분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 22일(수)","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전체 "
"1","군산시 수송동","이차돌홀매니저, 주방매니저 , 홀알바구함","21:00~01:00","시급8,500","29분전","무관(신입+경력)","성별무관","20세 이상(2000년 이후 출생자) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직","0명 (10명 미만)","3개월~6개월 (기간협의가능)","주6일 (요일협의가능)","2019년 4월 15일(월) ~ 상시모집","전북 군산시 수송북로 34<U+00A0>1층<U+00A0>전북 군산시 수송동"
"1","익산시 영등동","맥도날드 익산 영등 DT○ 맥도날드 익산영등DT점 직원 채용 공고(크루, 라이더) ○","시간협의","시급8,350","42분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 12일(일) ~ 2019년 5월 20일(월)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=403024"
"1","정읍시 맥도날드","맥도날드 전북정읍DT맥도날드 전북정읍DT점 크루모집","시간협의","시급8,350","42분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 8일(수) ~ 2019년 5월 15일(수)
D-DAY 3 ","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402631"
"1","전주시 평화동2","웅진씽크빅 남전주지국웅진씽크빅 남전주지국에서 씽크빅 선생님을 모십니다.(센터","14:00~20:00","월급2,000,000","45분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","3명","1년이상","월~금","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 모악로 4692<U+00A0>덕수빌딩4층 씽크빅남전주지국<U+00A0>전북 전주시 완산구 평화동2가"
"1","전주시 효자동2","노랑통닭효자점【 추천 급구 】주방아르바이트 (금.토.일)모집합니다","17:30~21:30","시급9,000","45분전","무관(신입+경력)","남자","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (기간협의가능)","금, 토, 일요일 (요일협의가능)","2019년 5월 12일(일) ~ 2019년 5월 18일(토)
D-DAY 6 ","전북 전주시 완산구 거마평로 139<U+00A0>서도프라자앞<U+00A0>전북 전주시 완산구 효자동2가"
"1","전주시 전미동1","돈까스집[+급구추천+]홀써빙 직원구함","10:00~21:00 (로테이션)","월급2,100,000","45분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 49세(1971년생) 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 병역특례","0명 (10명 미만)","1년이상","주6일 (요일협의가능 : 매주 월요일 휴무)","2019년 5월 2일(목) ~ 상시모집","전북 전주시 덕진구 과학로 203<U+00A0>,<U+00A0>전북 전주시 덕진구 전미동1가"
"1","전주시 평화동2","웅진씽크빅 남전주지국웅진씽크빅 남전주지국에서 씽크빅 선생님을 모십니다.(센터","14:00~20:00","월급2,000,000","46분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","3명","1년이상","월~금","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 모악로 4692<U+00A0>덕수빌딩4층 씽크빅남전주지국<U+00A0>전북 전주시 완산구 평화동2가"
"1","부안군 변산면","세븐일레븐 변산반도점세븐일레븐 변산반도점 주말오후 알바 급구","16:00~01:00","시급8,350","50분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월","주말","2019년 5월 8일(수) ~ 2019년 5월 17일(금)
D-DAY 5 ","전북 부안군 변산면 변산해변로 19-3<U+00A0>세븐일레븐 변산반도점<U+00A0>전북 부안군 변산면"
